plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Trifolium rubens,Fabaceae,Trifolium,rubens,N,biotic,2,6,herb,0.6,,1,flag,sigomorph,1,1,0,NA,NA
Trifolium sp.,Fabaceae,Trifolium,sp.,NA,biotic,NA,NA,herb,NA,,1,flag,sigomorph,1,1,0,NA,NA
Urtica dioica,Urticaceae,Urtica,dioica,N,abiotic,3,6,herb,1.5,,1,NA,,0,1,0,NA,NA
Verbascum nigrum,Scrophulariaceae,Verbascum,nigrum,N,biotic,3,6,herb,1,,1,gullet,actinomorph,1,1,0,NA,NA
Verbascum thapsus,Scrophulariaceae,Verbascum,thapsus,N,biotic,4,6,herb,2,,1,gullet,actinomorph,1,1,0,NA,NA
Veronica spicata,Plantaginaceae,Veronica,spicata,N,biotic,3,6,herb,0.76,,0,dish_bowl,actinomorph,1,1,0,40,NA
Vicia cracca,Fabaceae,Vicia,cracca,N,biotic,3,6,herb,2,,1,flag,sigomorph,1,1,0,28,7467
Vicia sativa,Fabaceae,Vicia,sativa,N,biotic,6,5,herb,1,,1,flag,sigomorph,1,1,0,44,6119
Vicia sepium,Fabaceae,Vicia,sepium,N,biotic,4,4,herb,1,,1,flag,sigomorph,1,1,0,56,NA
Vitex negundo,Lamiaceae,Vitex,negundo,E,biotic,2,9,shrub,3,,1,gullet,sigomorph,1,1,0,48.83333333,4480
Zinnia elegans,Asteraceae,Zinnia,elegans,E,biotic,4,7,herb,1,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Petunia integrifolia,Solanaceae,Petunia,integrifolia,E,biotic,3,6,herb,0.5,staudenfuehrer.de,1,bell_trumpet,actinomorph,1,1,NA,NA,NA
xChitalpa tashkentensis,Bignoniaceae,xChitalpa,tashkentensis,E,steril,until frost ???,4,tree,7.5,digitalcommons.usu.edu,NA,bell_trumpet,NA,NA,NA,NA,NA,NA
