In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:174200,Gefässpflanzen,Gemeine Esche,Fraxinus excelsior L.,www.infoflora.ch/flora/1019970,Frauenfeld,TG,Wuer,381,2705803,1270494,2,A,,NA,2015,5,18,NA,BAFU / OFEV / UFAM,Küchler Helen,7843610,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Oleaceae,NA,INN,NA,
x,infoflora:177100,Gefässpflanzen,Stechender Hohlzahn,Galeopsis tetrahit L.,www.infoflora.ch/flora/1020350,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, Kiesinsel. Kiesinsel",383,2705750,1270670,50,A,,NA,1997,5,31,NA,Naturmuseum Thurgau,Grädel,6482876,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:177300,Gefässpflanzen,Kleinblütiges Knopfkraut,Galinsoga parviflora Cav.,www.infoflora.ch/flora/1020370,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur S, Chälhoftaal, Biberäuli. Acker",380,2705150,1270450,50,A,,NA,1991,10,16,NA,Naturmuseum Thurgau,Grädel,6483065,,,,,NA,NA,,NA,,,,NA,NA,NA,Asteraceae,NA,NEO,1,
x,infoflora:177350,Gefässpflanzen,Bewimpertes Knopfkraut,Galinsoga quadriradiata Ruiz & Pav.,www.infoflora.ch/flora/1020360,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur S, Chälhoftaal, Biberäuli. Acker",380,2705150,1270450,50,A,,NA,1991,10,16,NA,Naturmuseum Thurgau,Grädel,6483064,,,,,NA,NA,,NA,,,,NA,NA,NA,Asteraceae,NA,NEO,1,
x,infoflora:177350,Gefässpflanzen,Bewimpertes Knopfkraut,Galinsoga quadriradiata Ruiz & Pav.,www.infoflora.ch/flora/1020360,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285369,,,,,NA,NA,,NA,,,,NA,NA,NA,Asteraceae,NA,NEO,1,
x,infoflora:177350,Gefässpflanzen,Bewimpertes Knopfkraut,Galinsoga quadriradiata Ruiz & Pav.,www.infoflora.ch/flora/1020360,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",495,2705442,1271705,100,A,,NA,2012,7,10,NA,"Agroscope, Nina Richner",Richner Nina,5184314,,,,,NA,NA,,NA,,,,NA,NA,NA,Asteraceae,NA,NEO,1,
x,infoflora:177600,Gefässpflanzen,Kletten-Labkraut,Galium aparine L.,www.infoflora.ch/flora/1020400,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285370,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Rubiaceae,NA,INN,NA,
x,infoflora:177600,Gefässpflanzen,Kletten-Labkraut,Galium aparine L.,www.infoflora.ch/flora/1020400,Uesslingen-Buch,TG,Wuer,382,2705910,1270630,1,A,,NA,2015,5,19,NA,BAFU / OFEV / UFAM,Küchler Helen,7863290,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Rubiaceae,NA,INN,NA,
x,infoflora:179000,Gefässpflanzen,Wiesen-Labkraut,Galium mollugo aggr.,www.infoflora.ch/flora/1020510,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285371,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Rubiaceae,NA,INN,NA,
x,infoflora:179300,Gefässpflanzen,Echter Waldmeister,Galium odoratum (L.) Scop.,www.infoflora.ch/flora/1020560,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285372,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Rubiaceae,NA,INN,NA,
